Index,Timestamp,Indicator
14338,36009,1
14339,36012,1
14340,36014,1
14341,36017,1
14342,36019,1
14343,36021,1
14344,36024,1
14345,36026,1
14346,36029,1
14347,36031,1
14348,36034,1
14349,36036,1
14350,36039,1
14351,36041,1
14352,36044,1
14353,36046,1
14354,36049,1
14355,36051,1
14356,36054,1
14357,36056,1
14358,36059,1
14359,36061,1
14360,36064,1
14361,36066,1
14362,36069,1
14363,36071,1
14364,36074,1
14365,36076,1
14366,36079,1
14367,36081,1
14368,36084,1
14369,36086,1
14370,36089,1
14371,36091,1
14372,36094,1
14373,36096,1
14374,36099,1
14375,36101,1
14376,36104,1
14377,36106,1
14378,36109,1
14379,36111,1
14380,36114,1
14381,36116,1
14382,36119,1
14383,36121,1
14384,36124,1
14385,36126,1
14386,36129,1
14387,36131,1
14388,36134,1
14389,36136,1
14390,36139,1
14391,36141,1
14392,36143,1
14393,36146,1
14394,36148,1
14395,36151,1
14396,36153,1
14397,36156,1
14398,36158,1
14399,36161,1
14400,36163,1
14401,36166,1
14402,36168,1
14403,36171,1
14404,36173,1
14405,36176,1
14406,36178,1
14407,36181,1
14408,36183,1
14409,36186,1
14410,36188,1
14411,36191,1
14412,36193,1
14413,36196,1
14414,36198,1
14415,36201,1
14416,36203,1
14417,36206,1
14418,36208,1
14419,36211,1
14420,36213,1
14421,36216,1
14422,36218,1
14423,36221,1
14424,36223,1
14425,36226,1
14426,36228,1
14427,36231,1
14428,36233,1
14429,36236,1
14430,36238,1
14431,36241,1
14432,36243,1
14433,36246,1
14434,36248,1
14435,36251,1
14436,36253,1
14437,36256,1
14438,36258,1
14439,36261,1
14440,36263,1
14441,36266,1
14442,36268,1
14443,36270,1
14444,36273,1
14445,36275,1
14446,36278,1
14447,36280,1
14448,36283,1
14449,36285,1
14450,36288,1
14451,36290,1
14452,36293,1
14453,36295,1
14454,36298,1
14455,36300,1
14456,36303,1
14457,36305,1
14458,36308,1
14459,36310,1
14460,36313,1
14461,36315,1
14462,36318,1
14463,36320,1
14464,36323,1
14465,36325,1
14466,36328,1
14467,36330,1
14468,36333,1
14469,36335,1
14470,36338,1
14471,36340,1
14472,36343,1
14473,36345,1
14474,36348,1
14475,36350,1
14476,36353,1
14477,36355,1
14478,36358,1
14479,36360,1
14480,36363,1
14481,36365,1
14482,36368,1
14483,36370,1
14484,36373,1
14485,36375,1
14486,36378,1
14487,36380,1
14488,36383,1
14489,36385,1
14490,36388,1
14491,36390,1
14492,36392,1
14493,36395,1
14494,36397,1
14495,36400,1
14496,36402,1
14497,36405,1
14498,36407,1
14499,36410,1
14500,36412,1
14501,36415,1
14502,36417,1
14503,36420,1
14504,36422,1
14505,36425,1
14506,36427,1
14507,36430,1
14508,36432,1
14509,36435,1
14510,36437,1
14511,36440,1
14512,36442,1
14513,36445,1
14514,36447,1
14515,36450,1
14516,36452,1
14517,36455,1
14518,36457,1
14519,36460,1
14520,36462,1
14521,36465,1
14522,36467,1
14523,36470,1
14524,36472,1
14525,36475,1
14526,36477,1
14527,36480,1
14528,36482,1
14529,36485,1
14530,36487,1
14531,36490,1
14532,36492,1
14533,36495,1
14534,36497,1
14535,36500,1
14536,36502,1
14537,36505,1
14538,36507,1
14539,36510,1
14540,36512,1
14541,36515,1
14542,36517,1
14543,36519,1
14544,36522,1
14545,36524,1
14546,36527,1
14547,36529,1
14548,36532,1
14549,36534,1
14550,36537,1
14551,36539,1
14552,36542,1
14553,36544,1
14554,36547,1
14555,36549,1
14556,36552,1
14557,36554,1
14558,36557,1
14559,36559,1
14560,36562,1
14561,36564,1
14562,36567,1
14563,36570,0
14564,36572,1
14565,36574,1
14566,36577,1
14567,36579,1
14568,36582,1
