Index,Timestamp,Millis,Indicator
277,13:43:14,997,1
278,13:43:14,1000,1
279,13:43:14,1002,1
280,13:43:14,1005,1
281,13:43:14,1007,1
282,13:43:14,1010,1
283,13:43:14,1012,1
284,13:43:14,1015,1
285,13:43:14,1017,1
286,13:43:14,1020,1
287,13:43:14,1022,1
288,13:43:14,1025,1
289,13:43:14,1027,1
290,13:43:14,1030,1
291,13:43:14,1032,1
292,13:43:14,1034,1
293,13:43:14,1037,1
294,13:43:14,1039,1
295,13:43:14,1042,1
296,13:43:14,1044,1
297,13:43:14,1047,1
298,13:43:14,1049,1
299,13:43:14,1052,1
300,13:43:14,1054,1
301,13:43:14,1057,1
302,13:43:14,1059,1
303,13:43:14,1062,1
304,13:43:14,1064,1
305,13:43:14,1067,1
306,13:43:14,1069,1
307,13:43:14,1072,1
308,13:43:14,1074,1
309,13:43:14,1077,1
310,13:43:14,1079,1
311,13:43:14,1082,1
312,13:43:14,1084,1
313,13:43:14,1087,1
314,13:43:14,1089,1
315,13:43:14,1092,1
316,13:43:14,1094,1
317,13:43:14,1097,1
318,13:43:14,1099,1
319,13:43:14,1102,1
320,13:43:14,1104,1
321,13:43:14,1107,1
322,13:43:14,1109,1
323,13:43:14,1112,1
324,13:43:14,1114,1
325,13:43:14,1117,1
326,13:43:14,1119,1
327,13:43:14,1122,1
328,13:43:14,1124,1
329,13:43:14,1127,1
330,13:43:14,1129,1
331,13:43:14,1132,1
332,13:43:14,1134,1
333,13:43:14,1137,1
334,13:43:14,1139,1
335,13:43:14,1142,1
336,13:43:14,1144,1
337,13:43:14,1147,1
338,13:43:14,1149,1
339,13:43:14,1152,1
340,13:43:14,1154,1
341,13:43:14,1157,1
342,13:43:14,1159,1
343,13:43:14,1161,1
344,13:43:14,1164,1
345,13:43:14,1166,1
346,13:43:14,1169,1
347,13:43:14,1171,1
348,13:43:14,1174,1
349,13:43:14,1176,1
350,13:43:14,1179,1
351,13:43:14,1181,1
352,13:43:14,1184,1
353,13:43:14,1186,1
354,13:43:14,1189,1
355,13:43:14,1191,1
356,13:43:14,1194,1
357,13:43:14,1196,1
358,13:43:14,1199,1
359,13:43:14,1201,1
360,13:43:14,1204,1
361,13:43:14,1206,1
362,13:43:14,1209,1
363,13:43:14,1211,1
364,13:43:14,1214,1
365,13:43:14,1216,1
366,13:43:14,1219,1
367,13:43:14,1221,1
368,13:43:14,1224,1
369,13:43:14,1226,1
370,13:43:14,1229,1
371,13:43:14,1231,1
372,13:43:14,1234,1
373,13:43:14,1236,1
374,13:43:14,1239,1
375,13:43:14,1241,1
376,13:43:14,1244,1
377,13:43:14,1246,1
378,13:43:14,1249,1
379,13:43:14,1251,1
380,13:43:14,1254,1
381,13:43:14,1256,1
382,13:43:14,1259,1
383,13:43:14,1261,1
384,13:43:14,1264,1
385,13:43:14,1266,1
386,13:43:14,1269,1
387,13:43:14,1271,1
388,13:43:14,1274,1
389,13:43:14,1276,1
390,13:43:14,1279,1
391,13:43:14,1281,1
392,13:43:14,1283,1
393,13:43:14,1286,1
394,13:43:14,1288,1
395,13:43:14,1291,1
396,13:43:14,1293,1
397,13:43:14,1296,1
398,13:43:14,1298,1
399,13:43:14,1301,1
400,13:43:14,1303,1
401,13:43:14,1306,1
402,13:43:14,1308,1
403,13:43:14,1311,1
404,13:43:14,1313,1
405,13:43:14,1316,1
406,13:43:14,1318,1
407,13:43:14,1321,1
408,13:43:14,1323,1
409,13:43:14,1326,1
410,13:43:14,1328,1
411,13:43:14,1331,1
412,13:43:14,1333,1
413,13:43:14,1336,1
414,13:43:14,1338,1
415,13:43:14,1341,1
416,13:43:14,1343,1
417,13:43:14,1346,1
418,13:43:14,1348,1
419,13:43:14,1351,1
420,13:43:14,1353,1
421,13:43:14,1356,1
422,13:43:14,1358,1
423,13:43:14,1361,1
424,13:43:14,1363,1
425,13:43:14,1366,1
426,13:43:14,1368,1
427,13:43:14,1371,1
428,13:43:14,1373,1
429,13:43:14,1376,1
430,13:43:14,1378,1
431,13:43:14,1381,1
432,13:43:14,1383,1
433,13:43:14,1386,1
