Timestamp ID Value1 Value2 Value3 Value4 Byte1 Byte2 Byte3 Byte4
143288 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143273 0x2014 0 0 0 0 FF 40 0 0
143280 0x2114 0 0 0 0 FF FF FF FF
143288 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143303 0x2014 0 0 0 0 FF 7F 0 0
143280 0x2114 0 0 0 0 FF FF FF FF
143288 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143303 0x2014 0 0 0 0 FF 7F 0 0
143310 0x2114 0 0 0 0 FF FF FF FF
143288 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143303 0x2014 0 0 0 0 FF 7F 0 0
143310 0x2114 0 0 0 0 FF FF FF FF
143288 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143325 0x2014 0 0 0 0 FF 75 0 0
143310 0x2114 0 0 0 0 FF FF FF FF
143288 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143325 0x2014 0 0 0 0 FF 75 0 0
143332 0x2114 0 0 0 0 FF FF FF FF
143288 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143325 0x2014 0 0 0 0 FF 75 0 0
143332 0x2114 0 0 0 0 FF FF FF FF
143340 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143325 0x2014 0 0 0 0 FF 75 0 0
143332 0x2114 0 0 0 0 FF FF FF FF
143340 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143355 0x2014 0 0 0 0 0 4E 0 1
143332 0x2114 0 0 0 0 FF FF FF FF
143340 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143355 0x2014 0 0 0 0 0 4E 0 1
143362 0x2114 0 0 0 0 FF FF FF FF
143340 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143355 0x2014 0 0 0 0 0 4E 0 1
143362 0x2114 0 0 0 0 FF FF FF FF
143340 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143377 0x2014 0 0 0 0 FF 73 0 1
143362 0x2114 0 0 0 0 FF FF FF FF
143340 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143377 0x2014 0 0 0 0 FF 73 0 1
143385 0x2114 0 0 0 0 FF FF FF FF
143340 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143377 0x2014 0 0 0 0 FF 73 0 1
143385 0x2114 0 0 0 0 FF FF FF FF
143340 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143399 0x2014 0 0 0 0 FF 71 0 0
143385 0x2114 0 0 0 0 FF FF FF FF
143340 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143399 0x2014 0 0 0 0 FF 71 0 0
143407 0x2114 0 0 0 0 FF FF FF FF
143340 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143399 0x2014 0 0 0 0 FF 71 0 0
